id,siglaPartido,siglaUf,idLegislatura,sexo
193726,PSDB,PR,55,M
132056,PP,SP,55,M
74574,PSD,BA,55,M
141517,PP,CE,55,M
160558,PR,SP,55,M
160517,PSB,ES,55,M
74017,PR,RJ,55,M
178860,DEM,BA,55,M
141516,PSDB,MG,55,M
171617,PT,AL,55,M
74095,DEM,AM,55,M
74160,PT,MG,55,M
193982,PRB,BA,55,M
160642,PATRI,PE,55,M
74319,PTB,PI,55,M
160556,PT,MG,55,M
141515,PSDB,RJ,55,M
202063,SOLIDARIEDADE,SC,55,M
73692,MDB,RS,55,M
73463,PP,PR,55,M
180545,DEM,PR,55,M
178987,PCdoB,SP,55,M
74399,DEM,RS,55,M
178868,PSB,CE,55,M
74752,PP,MG,55,M
74159,PT,MG,55,M
194260,PTB,AL,55,M
74359,PTB,RO,55,M
178986,PT,SP,55,M
74352,PSDB,PA,55,M
166401,PSDB,MT,55,M
74751,PT,MG,55,M
178896,MDB,MG,55,M
74571,PT,BA,55,M
160566,PSDB,PR,55,M
193069,PSD,RJ,55,M
73781,PP,PR,55,M
73553,PTB,SP,55,M
160567,PSDB,RS,55,M
178997,MDB,CE,55,M
74457,DEM,CE,55,M
195278,PCdoB,AC,55,M
160561,DEM,SP,55,M
178895,PSD,MG,55,M
74862,REDE,RJ,55,M
74787,PR,SP,55,M
178985,PR,SP,55,M
178984,PSDB,SP,55,M
141509,PT,MG,55,M
188097,PT,PI,55,M
74056,DEM,SE,55,M
74428,DEM,PE,55,M
178827,PSDB,ES,55,M
124411,MDB,RS,55,M
141507,MDB,SC,55,M
74749,MDB,MG,55,M
73588,MDB,CE,55,M
74050,PR,AL,55,M
178843,PSD,AL,55,M
181315,MDB,RJ,55,M
178858,PP,BA,55,M
74158,PDT,MG,55,M
178919,PP,PE,55,M
74235,PP,ES,55,M
159238,PSDB,MG,55,M
178943,DEM,RJ,55,M
178850,MDB,AM,55,M
167722,DEM,RO,55,M
178852,PSD,AP,55,M
141500,PSD,MG,55,M
74634,PODE,BA,55,M
178880,PPS,GO,55,M
74470,PSC,PB,55,M
160535,PT,RS,55,M
160536,PSDB,SC,55,M
133373,PT,RS,55,M
178942,MDB,RJ,55,M
178899,S.PART.,MS,55,M
150418,PRB,BA,55,M
179001,MDB,RS,55,M
178983,PR,SP,55,M
118594,PRB,SP,55,M
74278,PODE,SP,55,M
76287,PSD,RJ,55,M
195826,PR,RJ,55,M
74460,MDB,PI,55,M
178932,PP,PR,55,M
146788,PHS,MG,55,M
179000,PSL,MG,55,M
160660,DEM,SP,55,M
74124,MDB,MS,55,M
141490,MDB,PB,55,M
160633,DEM,MS,55,M
178826,PSL,SP,55,M
151965,PP,PI,55,M
178867,PP,CE,55,M
74688,PT,RJ,55,M
162332,PR,PR,55,M
178982,PSB,SP,55,M
141487,PP,MG,55,M
74041,PT,PB,55,M
178955,PR,RO,55,M
178802,PR,RJ,55,M
73778,PSDB,PR,55,M
141485,PTB,RS,55,M
160547,SOLIDARIEDADE,BA,55,M
160510,AVANTE,MG,55,M
73483,PP,RS,55,M
94931,MDB,BA,55,M
141484,PR,PA,55,M
178954,MDB,RO,55,M
178931,PSB,PR,55,M
74478,PSL,PE,55,M
178879,SOLIDARIEDADE,GO,55,M
196358,PODE,RJ,55,M
74277,PSDB,SP,55,M
141483,PRB,RO,55,M
74585,PR,MG,55,M
160663,PSB,PR,55,M
74299,PDT,CE,55,M
141482,MDB,MG,55,M
74254,MDB,RJ,55,M
74156,PT,MG,55,M
178825,PT,AC,55,M
141562,MDB,ES,55,M
141480,PP,TO,55,M
178894,PODE,MG,55,M
141478,PR,DF,55,M
151208,PP,SE,55,M
178918,SOLIDARIEDADE,PE,55,M
74570,PSDB,BA,55,M
178886,DEM,MA,55,M
160544,MDB,SP,55,M
178885,PATRI,MA,55,M
201357,PSD,MS,55,M
160648,MDB,TO,55,M
74253,PP,RJ,55,M
73586,PSB,MG,55,M
74317,PSD,PI,55,M
141474,PDT,MA,55,M
73666,PTB,GO,55,M
74351,PTB,PA,55,M
74141,PT,BA,55,M
160607,PSB,RS,55,M
74554,PR,BA,55,M
73714,PSDB,MA,55,M
74079,MDB,PA,55,M
74395,PP,RS,55,M
160619,PSD,BA,55,M
74275,PT,SP,55,M
141470,PT,CE,55,M
131966,MDB,RS,55,M
74140,PR,BA,55,M
