cod,sigla,nome,descricao
708,OF,Ofício do Congresso Nacional,
709,SBR,Subemenda de Relator,
710,AVN,Aviso (CN) de Contas do Gestor Federal do SUS,
711,OFN,Ofício (CN) de Demonstrações Financeiras do Banco Central do Brasil,
712,AVN,Aviso (CN) de Contas do TCU,
713,ERD-A,Emenda de Redação Adotada,
714,PIN,Proposta de Instrução Normativa,
715,OFN,Ofício (CN) de Contas do TCU,
810,ATA,Ata,
814,CRVITAEDOC,Curriculum Vitae/Outro Documento,
822,OF,Ofício do Congresso Nacional,
823,OF,Ofício do Senado Federal,
830,PR/CNMP,Parecer do Conselho Nacional do Ministério Público,
831,PR/CNJ,Parecer do Conselho Nacional de Justiça,
832,OFN,Ofício (CN) de Relatório Anual da Agência Nacional de Transportes Aquaviários - Antaq,
833,,L) DOCUMENTOS DE CPI,
834,DOCCPI,Documento de CPI,
835,DOCCPI,Documento de CPI sigiloso,
836,OFJ,Ofício de Órgão do Poder Judiciário,
837,OFE,Ofício de Órgão do Poder Executivo,
838,MAD,Manifestação do(a) Denunciado(a),
839,PDC,Projeto de Decreto Legislativo sobre Declaração de Guerra e correlatos,
840,PDC,"Projeto de Decreto Legislativo sobre Estado de Defesa, Estado de Sítio e Intervenção Federal nos Estados",
841,PDC,Projeto de Decreto Legislativo sobre transferência temporária da sede do Governo Federal,
842,PDC,"Projeto de Decreto Legislativo para autorizar o Presidente ou o Vice-Presidente da República a se ausentarem do paíse, por mais de 15 dias (art. 49, II, CF)",
843,SIP,Solicitação para instauração de processo,Artigo 217 do RICD
844,REC,"Recurso contra aplicação de censura escrita (Art. 12, § 2º do CEDP)","Contra aplicação de censura escrita (Art. 12, § 2º do CEDP)"
845,OF,Demonstrativo de emissão do real,
846,DTQ,Destaque para Votação em Separado,
847,DTQ,Destaque de Bancada,
848,RCEX,Relatório de Comissão Externa,
849,RCEL,Relatório de Comissão de Estudo Legislativo,
850,DEF,Defesa Escrita,
851,DEF,Defesa Prévia,
852,PRLP,Parecer Preliminar,
853,PRLP(V),Parecer Preliminar Vencedor,
854,RGT,Relatório de Grupo de Trabalho,
855,REL-A,Relatório Adotado pela Comissão,
856,RRR,Relatório Reformulado,
857,RVC,Relatório Vencedor,
858,CMC,Comunicação de Medida Cautelar,
859,DOC,Indicação de Líder de Partido ou Bloco Parlamentar,
860,DOC,Indicação de Vice-Líder de Partido ou Bloco Parlamentar,
861,DOC,Adesão a Grupo ou Frente Parlamentar Registrada,
862,DOC,Desligamento de Frente Parlamentar Registrada,
863,DOC,Constituição de Bloco Parlamentar,
864,DOC,Adesão a Bloco Parlamentar,
865,DOC,Desligamento de Bloco Parlamentar,
866,DOC,Indicação de Coordenador de Bancada Estadual,
867,REQ,"Requerimento de Inclusão na Ordem do Dia (Res 14/20, art. 4º, §3º)",
868,MIP,Minuta de Proposição Legislativa,
869,EMC,Emenda à PEC,
870,EMP,Emenda de Plenário a Projeto com Urgência ,
871,EMP,Emenda de Plenário a Projeto em Fase de Discussão do 2º Turno ,
872,ERD,Emenda de Redação em Plenário,
873,EMP,Emenda de Plenário à MPV (Ato Conjunto 1/20),
874,RPD,Requerimento de Discussão por Partes,
875,RPD,Requerimento de quebra de insterstício para verificação de votação,
876,REQ,Requerimento de Inversão de Pauta,
877,RPD,Requerimento de Encerramento da Discussão de Projeto de Código,
878,REQ,"Requerimento de Urgência (art. 154, I ou III, do RICD)",
887,ECN,Emenda (CN),Emenda a Projeto do Congresso Nacional
888,DTS,Destaque Simples,
889,RPD,Requerimento de Retirada de Tramitação de Proposição de Iniciativa Individual em Sessão ou Reunião,
890,RPD,Requerimento de Retirada de Tramitação de Proposição em Sessão ou Reunião,
891,PRLP,Parecer Preliminar de Plenário,
892,RPD,Requerimento de Adiamento da Discussão de Matéria Urgente,
895,AJECN,Ajuste de Emenda Orçamentária (CN),Ajuste de Emenda Orçamentária do Congresso Nacional
896,SRL,Sugestão a Relatório (CN),Sugestão a Relatório do Congresso Nacional
897,ATACN,Ata (CN),Ata do Congresso Nacional
898,REQ,"REQ - Tramitação de tratado internacional nos termos do art. 5º, § 3º, da CF","Requerimento - Tramitação de tratado internacional nos termos do art. 5º, § 3º, da CF"
1000,RPD,Requerimento de Encerramento da Discussão e do Encaminhamento de Matéria Urgente,
1001,PRLE,Parecer Preliminar às Emendas de Plenário,
1002,DOC,Denominação de Bloco Parlamentar,
1003,DOC,Ofício da Primeira-Secretaria,
